"","Name","displacement","moment","horsepower","length","width","weight","trunk","speed","acceleration","fit.cluster"
"1","Kia Picanto 1.1 Start                   ",1086,97,65,3535,1595,929,127,154,15.1,2
"2","Suzuki Splash 1.0                       ",996,90,65,3715,1680,1050,178,160,14.7,2
"3","Renault Clio 1.2                        ",1149,105,75,3986,1719,1155,288,167,13.4,2
"4","Dacia Sandero 1.6                       ",1598,128,87,4020,1746,1111,320,174,11.5,2
"5","Fiat Grande Punto 1.4                   ",1598,140,88,3986,1719,1215,288,177,11.9,2
"6","Peugot 207 1.4                          ",1360,133,88,4030,1748,1214,270,180,12.7,2
"7","Renault Clio 1.6                        ",1368,125,95,4030,1687,1135,275,178,11.4,2
"8","Porsche Cayman                          ",3386,340,295,4341,1801,1340,410,275,5.4,3
"9","Nissan 350Z                             ",3498,353,301,4315,1815,1610,235,250,5.8,3
"10","Mercedes C 200 CDI                      ",2148,270,136,4595,1770,1605,485,208,10.8,1
"11","VWPassat Variant 2.0                    ",1968,320,140,4774,1820,1596,588,201,10.5,1
"12","Skoda Octavia 2.0                       ",1968,320,140,4572,1769,1425,580,207,9.7,1
"13","Mercedes E 280                          ",2996,300,231,4852,1822,1660,540,250,7.3,1
"14","Audi A6 2.4                             ",2393,230,177,4916,1855,1525,546,231,8.9,1
"15","BMW 525i                                ",2497,250,218,4841,1846,1550,520,245,7.5,1
